	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
N33	4	1	17	0	0	16	0	0	0	0	0	0	0	0	0	0	5	3	10	0	5	25
N34	0	1	18	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	39	0	2	6
N35	1	1	14	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	8	0	0	1
N36	0	1	21	0	0	0	0	0	0	1	0	2	0	0	0	0	7	3	5	0	0	0
N37	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	12	0	0	0
N38	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	9	0	0	0
N39	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	7	0	0	0
N40	0	0	15	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	5	0	0	0
O01	3	0	39	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0
O02	5	0	34	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	10	0	0	2
O03	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0
O04	3	0	34	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	4	0	0	0
O05	2	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	18	0	0	0
O06	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
O07	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0
O08	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
O09	1	0	17	0	1	1	0	0	0	0	0	2	17	0	0	0	0	0	5	0	0	2
O10	0	1	17	0	1	2	2	0	0	0	0	0	36	0	0	0	4	0	8	0	0	0
O11	0	0	14	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	14	0	0	0
O12	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	3
O13	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	12	0	0	0
O14	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
O15	3	0	19	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	2
O16	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O17	3	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	21	0	0	6
O18	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	52	0	0	12
O19	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	20	0	0	12
O20	1	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	8	1	29	0	0	2
O21	23	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0	0	8
O22	18	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	15	0	0	0
O23	16	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	14	0	0	2
O24	4	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2
O25	19	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	25	0	0	0
O26	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	5
O27	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	20	0	0	1
O28	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	1
O29	1	0	12	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	39	0	0	5
O30	1	0	21	0	0	15	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	1
O31	4	0	21	0	0	7	0	0	0	0	0	0	0	0	0	0	1	2	7	0	0	4
O32	2	0	16	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	10	0	0	1
O33	7	0	13	0	0	4	0	0	0	0	0	3	0	0	0	0	0	3	6	0	0	7
O34	2	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	40	0	1	14
O35	1	0	40	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	30	1	2	11
O36	0	1	30	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	19	0	0	5
O37	0	1	19	0	0	0	0	0	0	0	0	1	0	0	0	0	3	6	8	0	0	0
O38	0	0	43	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	13	0	0	0
O39	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	2	3	4	0	0	0
O40	1	0	20	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	8	0	0	1
P01	1	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0
P02	1	0	39	0	0	8	1	0	0	0	0	0	0	0	0	0	4	1	5	0	0	0
P03	1	0	68	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0
P04	0	0	24	0	0	4	0	0	0	0	0	3	0	0	0	0	0	2	12	0	0	0
P05	2	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	5	0	0	1
P06	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0
P07	1	0	15	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	19	0	0	0
P08	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	1
P09	8	2	2	0	0	1	1	0	0	0	0	0	4	0	0	0	3	0	27	0	0	5
P10	0	0	10	0	0	0	0	0	0	0	0	2	23	0	0	0	2	0	15	0	1	5
P11	1	0	35	0	0	2	2	0	0	0	0	0	0	0	0	0	4	0	17	0	0	3
P12	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0
P13	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	18	0	0	3
P14	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	15	0	0	2
P15	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	2
P16	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	22	0	0	0
P17	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	11	0	0	1
P18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	12	0	0	2
P19	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	13	0	0	0
P20	9	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	8	0	0	0
P21	41	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	30	0	0	3
P22	17	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	0	1
P23	7	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	23	0	0	1
P24	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1
P25	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	18	0	0	7
P26	13	0	17	0	0	1	0	2	0	0	0	1	0	0	0	0	4	0	25	0	0	1
P27	20	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	19	0	0	3
P28	3	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	13	0	0	3
P29	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	0	0	0
P30	1	0	15	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	13	0	1	3
P31	15	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	11	0	1	2
P32	21	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	5	0	0	0
P33	9	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	2
P34	0	0	8	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	11	0	1	5
P35	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	39	0	3	16
P36	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	13	0	2	10
P37	0	0	37	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0
P38	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	10	0	0	2
P39	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	1
P40	0	0	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	14	0	0	0
