	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
C12	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	19	0	0	0
C13	18	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	9	0	0	5
C14	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	1
C15	22	0	9	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	17	0	0	0
C16	16	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0
C17	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0
C18	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	0	1
C19	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	14	0	0	2
C20	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	1
C21	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
C22	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	18	0	0	2
C23	5	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	46	0	0	4
C24	1	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	13	0	0	0
C25	10	1	19	0	0	2	2	0	0	0	0	3	0	0	0	0	0	0	15	0	0	1
C26	2	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	7	0	0	0
C27	4	1	12	0	0	0	1	0	0	0	0	2	0	0	0	0	3	0	12	0	0	1
C28	7	0	14	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	12	0	0	0
C29	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0
C30	6	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	17	0	0	0
C31	1	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0
C32	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	10	0	0	0
C33	7	0	9	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	16	0	0	0
C34	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	8	0	0	2
C35	8	1	16	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	22	0	0	2
C36	12	1	13	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	32	0	0	0
C37	25	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	40	0	2	2
C38	3	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	20	0	0	1
C39	16	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0
C40	11	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	13	0	0	0
D01	1	0	7	0	0	0	0	0	0	0	0	1	35	0	0	0	2	0	13	0	0	0
D02	16	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	30	0	0	0
D03	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2
D04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	16	0	0	0
D05	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
D06	22	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0
D07	23	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	2
D08	11	0	36	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	6	0	0	1
D09	6	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	1
D10	5	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	19	0	0	0
D11	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	18	0	0	2
D12	11	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	28	0	0	3
D13	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	13	0	0	2
D14	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	22	0	0	0
D15	4	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24	0	0	4
D16	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	21	0	0	1
D17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	1
D18	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
D19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	2
D20	2	0	14	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	14	0	0	1
D21	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
D22	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0
