	Acer_negundo	Acer_rubrum	Acer_saccharum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Bumelia_lanuginosa	Carya_cordiformis	Carya_glabra	Carya_ovata	Carya_texana	Carya_tomentosa	Celtis_occidentalis	Celtis_tenuifolia	Cercis_canadensis	Cornus_drummondii	Cornus_florida	Diospyros_virginiana	Frangula_caroliniana	Fraxinus_americana	Gleditsia_triacanthos	Juglans_nigra	Juniperus_virginiana	Lindera_benzoin	Lonicera_maackii	Ostrya_viriginiana	Platanus_occidentalis	Prunus_americana	Prunus_serotina	Quercus_alba	Quercus_marilandica	Quercus_muehlenbergii	Quercus_rubra	Quercus_stellata	Quercus_velutina	Sassafras_albidum	Tilia_americana	Ulmus_rubra	Viburnum_rufidulum
2099	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	77	0	0	0	0	0	1	0	0	0	0	5	0	0	2	0	0	3	0	0	0
2100	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	84	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	1	1	0	0	0
2101	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	15	0	64	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0
2102	0	0	0	0	0	47	0	0	0	0	0	2	0	0	0	0	11	0	86	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0
2103	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	17	0	61	2	0	1	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	1	0
2104	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	11	0	68	5	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2105	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	48	4	0	0	0	0	5	0	0	0	0	3	0	0	1	0	1	4	0	1	0
2106	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	8	0	37	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
2107	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	16	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
2108	0	3	0	0	0	0	0	0	2	1	0	4	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
2109	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0
2110	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	18	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
