"","variables","BarkThickness TRCP","LeafSize TRCP","LWC TRCP","SeedMassKEW TRCP","SLA TRCP","WoodDensity TRCP","alkaloids TRCP","benzenoids TRCP","heterocyclics TRCP","lipids TRCP","organic_acids TRCP","BarkThickness WFDP","LeafSize WFDP","LWC WFDP","SeedMassKEW WFDP","SLA WFDP","WoodDensity WFDP","alkaloids WFDP","benzenoids WFDP","heterocyclics WFDP","lipids WFDP","organic_acids WFDP","BarkThickness SERC","LeafSize SERC","LWC SERC","SeedMassKEW SERC","SLA SERC","WoodDensity SERC","alkaloids SERC","benzenoids SERC","heterocyclics SERC","lipids SERC","organic_acids SERC"
"11","NH4",NA,0.0265124553764311,0.00351547810805686,NA,0.0033154974136913,NA,0.0371880614032047,0.00374762684596924,0.00309975179202943,0.00617355451530172,0.00555821003218382,NA,NA,NA,0.00743717108014063,0.00359492598234559,NA,0.00432716312998138,NA,NA,0.00138269915681835,NA,NA,0.0010927961488173,0.00277023823150752,0.00467162794253947,0.0112369031532185,0.00784233249341637,0.00408708604420088,0.00685415064652672,0.00708231563598097,0.00784080652628186,0.00479414122712024
"12","Al",NA,0.00378832115814098,NA,0.0037601209637862,NA,0.0251111064275039,0.00343559293390472,0.0045078688632163,NA,0.00591904473412685,0.00438781158375873,NA,NA,NA,NA,NA,NA,0.00217930316256577,NA,NA,0.00228870476850254,NA,0.00692602806235215,0.0143398968002646,0.00192539413008841,0.0179555086380964,NA,NA,NA,NA,NA,NA,NA
"13","BS",NA,0.00210265428681455,NA,0.00362532550555961,0.00217183364675555,NA,NA,0.0181275330026323,0.00195389068505908,0.00928380385555228,0.0192568805497679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00611673889707851,0.0278119655257554,0.0770881107002906,NA,0.00411193933976445,0.00247549435575767,0.0740457324575793,NA,0.00158028953458483,0.0170540491603902,0.0800760235307886
"14","pHCaCl2",NA,0.00273532093246998,0.543186432604352,0.0225674067733174,0.143027761497315,0.00773210479631142,0.00471256813737991,0.0123029052101155,0.0497757739459707,0.0111612957057173,0.00531932061965196,0.0154583868895897,0.0151371091536766,0.00386625254985881,NA,0.00335036966981628,0.00931730222564618,0.00836073372794781,0.00473326148903519,NA,0.00457933983457649,0.00823473365461648,NA,0.00502223232732676,0.0195526919014424,NA,0.00127715430456823,0.00254400665100674,0.00368884310913925,NA,NA,0.0224638534015388,0.00429834763894527
"15","Mn",NA,0.00685727296744437,0.00209093568037555,0.0124993438566712,0.00221746367434184,NA,0.0236579603660953,0.0482634082786274,0.0098203120035662,0.0306668100188583,0.029934289967145,NA,NA,NA,NA,NA,NA,NA,0.00431852001044083,NA,NA,NA,0.011090029252018,NA,0.00660510572100359,0.00665275830137921,0.00935582907738562,NA,0.00865798065842083,NA,0.00188637598499061,0.00442865201374049,0.00707139609825652
"16","TotN",NA,NA,0.00170765335714573,0.0125448930376721,0.00190454116282934,NA,0.0184263466946136,0.0059500707302132,0.0156968631813254,0.00147872057074672,0.0021848648230095,NA,0.00296005522918198,0.00548211438713282,NA,NA,NA,NA,0.00112857955677328,NA,NA,NA,0.0177747348521775,0.0157814983527585,0.00646693108519514,NA,0.00323738143839704,0.00558331241588134,0.00931492233015274,0.0107874015313996,0.0277654568856444,0.00906648128135257,0.0128419724926201
"17","ECEC",NA,NA,NA,0.0143974760344207,0.00545609802107494,NA,NA,NA,NA,NA,NA,0.00254229028679412,0.002927612689891,0.0022773102051681,NA,0.00272693015074132,0.00165711760969331,NA,NA,NA,0.0018697641003432,0.00184098784422526,0.022145106966224,0.104373946161471,0.0225172011993093,0.00462234042054749,0.00908510359076881,0.0122403974902407,0.00441506943905573,NA,0.00162331724183098,NA,0.00572689166142223
"18","Ca",NA,NA,NA,NA,0.00270915461093391,0.0289703811870676,0.0071993645400053,0.00996133487653134,NA,0.00909233909235935,0.00393442513620568,0.00130771749084263,0.00192333635007778,0.00171543822240919,0.00457387178522167,0.00234316311142677,0.00215189762398713,NA,NA,NA,0.00145074124782191,0.00189413599407451,0.00122630195854007,0.00177357484774016,NA,NA,0.0116317478577934,0.00241703230831691,0.00177309800537334,NA,0.00360403378779134,NA,0.00129702093742318
"19","TEB",NA,NA,NA,NA,0.00255336931419303,NA,0.0133407498001428,0.00160834117897768,NA,0.00231078429713949,0.00220624895052018,0.00429872155741418,0.00300339651142498,0.00205293159800773,0.00195044723783103,0.00206568673659181,0.00518427433789115,NA,NA,NA,0.001214675848698,0.00289373212255342,NA,0.015357216117613,0.00203002260215818,NA,0.0114403456159341,0.00836157108262081,0.00600724791556223,0.128288828841629,0.0152122974624868,NA,0.00988917393569871
"20","Mg",NA,NA,NA,NA,0.00158857793733047,NA,0.0056680541575464,0.0117398868317333,NA,0.00993087323455677,0.013878753562848,NA,NA,NA,NA,NA,NA,NA,NA,0.00621841710787704,NA,NA,0.00934227571112331,0.00316527961634522,NA,0.00105568647972167,0.00415126943667574,0.0194857255552035,0.00967418236842116,NA,NA,NA,0.0072549759989029
