"sp","trait","values","code","type"
"Fraxinus_pennsylvanica","SeedMassKEW",0.368993361900343,NA,"morph"
"Fraxinus_pennsylvanica","SLA",-0.0378038836755832,NA,"morph"
"Fraxinus_pennsylvanica","WoodDensity",-0.777506615126208,NA,"morph"
"Gaultheria_shallon","BarkThickness",NA,NA,"morph"
"Gaultheria_shallon","LeafSize",0.266874173559015,NA,"morph"
"Gaultheria_shallon","LWC",-0.352767663433301,NA,"morph"
"Gaultheria_shallon","SeedMassKEW",-1.4121511389594,NA,"morph"
"Gaultheria_shallon","SLA",-0.899602093994565,NA,"morph"
"Gaultheria_shallon","WoodDensity",NA,NA,"morph"
"Gleditsia_triacanthos","BarkThickness",NA,NA,"morph"
"Gleditsia_triacanthos","LeafSize",-1.70716387272936,NA,"morph"
"Gleditsia_triacanthos","LWC",NA,NA,"morph"
"Gleditsia_triacanthos","SeedMassKEW",-0.570642602780255,NA,"morph"
"Gleditsia_triacanthos","SLA",-0.518506874763204,NA,"morph"
"Gleditsia_triacanthos","WoodDensity",1.66716424926276,NA,"morph"
"Holodiscus_discolor","BarkThickness",-0.593865103650867,NA,"morph"
"Holodiscus_discolor","LeafSize",-0.0594414192748046,NA,"morph"
"Holodiscus_discolor","LWC",0.179026179224231,NA,"morph"
"Holodiscus_discolor","SeedMassKEW",-1.2442746568482,NA,"morph"
"Holodiscus_discolor","SLA",0.922162730309785,NA,"morph"
"Holodiscus_discolor","WoodDensity",-0.266340098675787,NA,"morph"
"Ilex_opaca","BarkThickness",-0.0993573413444817,NA,"morph"
"Ilex_opaca","LeafSize",-0.38640969470331,NA,"morph"
"Ilex_opaca","LWC",-0.124138568769438,NA,"morph"
"Ilex_opaca","SeedMassKEW",0.214757560430765,NA,"morph"
"Ilex_opaca","SLA",-1.02358551447454,NA,"morph"
"Ilex_opaca","WoodDensity",-0.389623174071869,NA,"morph"
"Ilex_verticillata","BarkThickness",-0.300513041265723,NA,"morph"
"Ilex_verticillata","LeafSize",-0.21913643913157,NA,"morph"
"Ilex_verticillata","LWC",0.798086755627951,NA,"morph"
"Ilex_verticillata","SeedMassKEW",0.345252893977422,NA,"morph"
"Ilex_verticillata","SLA",0.832838632871508,NA,"morph"
"Ilex_verticillata","WoodDensity",-0.565333584488507,NA,"morph"
"Juglans_nigra","BarkThickness",0.71715419953543,NA,"morph"
"Juglans_nigra","LeafSize",0.058769866089844,NA,"morph"
"Juglans_nigra","LWC",-0.126449910434594,NA,"morph"
"Juglans_nigra","SeedMassKEW",1.63008008159346,NA,"morph"
"Juglans_nigra","SLA",-0.0448477132894733,NA,"morph"
"Juglans_nigra","WoodDensity",0.23608852860446,NA,"morph"
"Juniperus_virginiana","BarkThickness",-1.00059773814787,NA,"morph"
"Juniperus_virginiana","LeafSize",-3.48693768659376,NA,"morph"
"Juniperus_virginiana","LWC",NA,NA,"morph"
"Juniperus_virginiana","SeedMassKEW",-1.38657338000779,NA,"morph"
"Juniperus_virginiana","SLA",-2.61550141115444,NA,"morph"
"Juniperus_virginiana","WoodDensity",0.780977439182804,NA,"morph"
"Kalmia_latifolia","BarkThickness",-0.690252209863129,NA,"morph"
"Kalmia_latifolia","LeafSize",-0.378410262206104,NA,"morph"
"Kalmia_latifolia","LWC",0.131840282709757,NA,"morph"
"Kalmia_latifolia","SeedMassKEW",-2.0701855423928,NA,"morph"
"Kalmia_latifolia","SLA",-0.583020925726797,NA,"morph"
"Kalmia_latifolia","WoodDensity",0.0437892684476904,NA,"morph"
"Ligustrum_sp.","BarkThickness",0.0221742273579346,NA,"morph"
"Ligustrum_sp.","LeafSize",-1.2488516047407,NA,"morph"
"Ligustrum_sp.","LWC",0.295755167067263,NA,"morph"
"Ligustrum_sp.","SeedMassKEW",NA,NA,"morph"
"Ligustrum_sp.","SLA",0.26304167514026,NA,"morph"
"Ligustrum_sp.","WoodDensity",-0.425593056181836,NA,"morph"
"Lindera_benzoin","BarkThickness",-1.04608826153631,NA,"morph"
"Lindera_benzoin","LeafSize",0.318195283934146,NA,"morph"
"Lindera_benzoin","LWC",1.29232864836053,NA,"morph"
"Lindera_benzoin","SeedMassKEW",0.0413593526330962,NA,"morph"
"Lindera_benzoin","SLA",0.842150070716365,NA,"morph"
"Lindera_benzoin","WoodDensity",0.35470701654892,NA,"morph"
"Liquidambar_styraciflua","BarkThickness",0.872895208274852,NA,"morph"
"Liquidambar_styraciflua","LeafSize",0.647573206388417,NA,"morph"
"Liquidambar_styraciflua","LWC",-0.318508355981297,NA,"morph"
"Liquidambar_styraciflua","SeedMassKEW",-0.203032918244056,NA,"morph"
"Liquidambar_styraciflua","SLA",-0.268410715835765,NA,"morph"
"Liquidambar_styraciflua","WoodDensity",-1.04979369531755,NA,"morph"
"Liriodendron_tulipifera","BarkThickness",1.64399205797294,NA,"morph"
"Liriodendron_tulipifera","LeafSize",0.906807379214248,NA,"morph"
"Liriodendron_tulipifera","LWC",-0.0922981480253345,NA,"morph"
"Liriodendron_tulipifera","SeedMassKEW",0.621109021039342,NA,"morph"
"Liriodendron_tulipifera","SLA",-0.237413116811151,NA,"morph"
"Liriodendron_tulipifera","WoodDensity",-1.35223634790794,NA,"morph"
"Lonicera_maackii","BarkThickness",NA,NA,"morph"
"Lonicera_maackii","LeafSize",-0.156708864527982,NA,"morph"
"Lonicera_maackii","LWC",0.509169047483405,NA,"morph"
"Lonicera_maackii","SeedMassKEW",-1.92637581885437,NA,"morph"
"Lonicera_maackii","SLA",0.122349342638621,NA,"morph"
"Lonicera_maackii","WoodDensity",1.99138592636357,NA,"morph"
"Lonicera_mackii","BarkThickness",-0.417853866219781,NA,"morph"
"Lonicera_mackii","LeafSize",-0.473928400224874,NA,"morph"
"Lonicera_mackii","LWC",0.466794450288834,NA,"morph"
