"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","env","site"
"TotN...11",-0.0519770678673504,0.393277119180736,0.305485971611166,0.0207049739017187,0.00956480117668389,-0.0833653116755455,-0.0271091645105094,0.244139766425144,0.157601463769411,-0.314287819806295,-0.0154733690164764,-0.118057582253375,-0.00385123499207089,0.00607359845938745,0.0601446952948103,0.0361299997194988,-0.725424190919198,-0.104027726824526,0.0408918655633048,"TotN","SERC"
"P...12",-0.00643098543943124,-0.00882292738763783,-0.284185325366767,-0.657524282763716,0.0530566345054751,0.0986706087206953,-0.230069314139091,0.220394646105038,-0.0975484725191225,-0.412210352013171,0.227646228516432,0.16790333330042,-0.146280058431244,-0.272149828079504,-0.034701877699545,-0.11691857555326,0.0471632888907088,-0.0240249079152154,-0.0117553570146817,"P","SERC"
"pHCaCl2...13",0.30167108117586,-0.238913176371546,0.272512484902797,0.0642759253600498,-0.00378095513684551,-0.0921663951584389,0.0639239947822148,0.166705994136438,0.150065830315713,0.133027051178002,0.0972482640926863,0.00871019347363788,0.164112656019865,-0.343528269282499,0.0512136159485654,-0.730337198189373,-0.0307944887315548,-0.0341046448590779,-0.0177238734894487,"pHCaCl2","SERC"
"TEB...14",0.413720031874926,0.107570848481635,-0.0628857491593683,-0.0117430742063023,0.0280636187009467,0.0229965467905422,-0.00714482727532247,-0.00727045646375242,0.0849247708766376,0.0245368309047292,0.0898356927198011,0.195653768622831,0.101610856037746,0.0437482079547701,0.0196590436541273,0.110069917729429,-0.0373726238511994,0.405933937771685,0.752772662594485,"TEB","SERC"
"cos_aspect...15",-0.000610768417116124,0.041952365317155,-0.128897881105675,0.0444264042560395,-0.683624954910911,-0.350313086365291,-0.588126171592675,0.0706573658175001,0.115331202164623,0.153328959624479,-0.0404910721578893,-0.00145069926638426,0.00404518472511147,0.0116265745233096,0.00558748067653084,-0.00407675125039534,0.00689022986092668,0.000462887094029984,0.00207478011952139,"cos_aspect","SERC"
"sin_aspect...16",-0.0134781291311905,0.0333403531800504,-0.0594895789645582,-0.115768627597645,0.511733019881312,-0.804812178461229,-0.119000410169186,-0.231809498060557,0.0426170215898942,0.0335949154864035,-0.0127796424926827,-0.00338347557895047,-0.00687929193892091,-0.00753500591643683,-0.0309590973041931,-0.000663261210702547,0.00885906793058202,0.00136593489149523,-0.00351525178213021,"sin_aspect","SERC"
"convexity...17",-0.0100417299233084,-0.0710913941941643,0.100781470023242,0.206803502249715,0.490092694436134,0.355571514343059,-0.732616372004019,0.11229867047811,0.0400246542905591,0.130073713336416,-0.0585127917635915,-0.0472026549014379,0.00701814266998896,0.0400313025392381,0.00905969254927728,-0.00431128262723075,0.00257618334866252,0.00475457766297295,-0.00249890169801598,"convexity","SERC"
"elev_mean...18",-0.0373734169287232,-0.347403509298328,0.11102724033392,0.310991302089602,-0.0548384115751843,-0.000265025905796448,-0.0431702673063398,-0.307353045049958,0.42422078635195,-0.353293045886783,0.422338206100223,0.20345883324355,-0.330755033714854,-0.0892974707175029,-0.0776698095345967,0.139975819049397,-0.0228012972612639,-0.0378979225434789,-0.00593994372521601,"elev_mean","SERC"
"slope...19",0.101577229939719,0.00701715560914961,-0.223266818544546,0.558547693197639,0.0162787824338449,-0.161969792161008,-0.018674235346323,0.211252691799817,-0.654040473138317,-0.281898426998743,0.133609776118352,0.104845791351728,-0.076283059922216,-0.0902863388242225,0.0315667365970978,-0.0654121370643272,-0.0316869296226994,-1.4412517318832e-06,0.00192787859273516,"slope","SERC"
"Al...20",-0.0822348576416844,0.494600225862376,-0.238904262881904,0.0687595411678959,0.0867153560826771,-0.00595252574527502,0.0461017961274233,-0.0718405380007256,0.0725702777949213,-0.108029230228372,0.202156936366548,-0.193242112799216,0.57899733049844,-0.169546014053335,0.0123558085406177,-0.271393974234924,0.0116962730765395,-0.282410250020334,-0.243173459748488,"Al","WFDP"
