"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait"
"MEM203",203,0.0204486069983299,0.11243156552228,0.106840583257853,14.6297062170539,0.001,"WFDP","meta"
"MEM180",180,0.0191929232397745,0.131624488762054,0.124776101449452,14.0127320226592,0.002,"WFDP","meta"
"MEM3",3,0.0187967229776508,0.150421211739705,0.142368332230129,14.0049702385078,0.002,"WFDP","meta"
"MEM230",230,0.01773215465224,0.168153366391945,0.158939875196919,13.472100850619,0.001,"WFDP","meta"
"MEM143",143,0.0176402047920597,0.185793571184005,0.175470827237051,13.6709424414348,0.002,"WFDP","meta"
"MEM97",97,0.0131737135557699,0.198967284739775,0.187523960236057,10.3609245690282,0.001,"WFDP","meta"
"MEM40",40,0.0126337981593208,0.211601082899095,0.199066918875234,10.0794900523635,0.002,"WFDP","meta"
"MEM156",156,0.0105220867765568,0.222123169675652,0.208497938571245,8.49475166000565,0.004,"WFDP","meta"
"MEM300",300,0.010264307921407,0.232387477597059,0.217696328842936,8.38407514063963,0.003,"WFDP","meta"
"MEM288",288,0.00984419762362759,0.242231675220687,0.226495272309934,8.1323902185877,0.007,"WFDP","meta"
"MEM146",146,0.00983374715198421,0.252065422372671,0.235311687833819,8.21741921531073,0.005,"WFDP","meta"
"MEM229",229,0.00968689604583634,0.261752318418507,0.244005979918952,8.18779832759235,0.003,"WFDP","meta"
"MEM64",64,0.00939595631323731,0.271148274731745,0.252429771354069,8.03137398212563,0.007,"WFDP","meta"
"MEM233",233,0.00908667747824571,0.28023495220999,0.260562917141775,7.85244213903225,0.006,"WFDP","meta"
"MEM9",9,0.0085238558970766,0.288758808107067,0.268143121385533,7.44236213034382,0.008,"WFDP","meta"
"MEM38",38,0.00755115723893385,0.296309965346001,0.274745270735636,6.65309618949053,0.014,"WFDP","meta"
"MEM283",283,0.00746573236880271,0.303775697714803,0.281280566784749,6.63764295661694,0.011,"WFDP","meta"
"MEM41",41,0.00745291527458686,0.31122861298939,0.287823760032719,6.68712685595885,0.01,"WFDP","meta"
"MEM137",137,0.00730940927691109,0.318538022266301,0.294239540078066,6.61798555343101,0.018,"WFDP","meta"
"MEM6",6,0.00718849649194303,0.325726518758244,0.3005507231924,6.56723712592404,0.012,"WFDP","meta"
"MEM59",59,0.00718470498596024,0.332911223744205,0.306878491012271,6.62369646086091,0.011,"WFDP","meta"
"MEM94",94,0.00684195590287656,0.339753179647081,0.312870165789063,6.36271284444912,0.016,"WFDP","meta"
"MEM212",212,0.00681034443708911,0.34656352408417,0.318848437014331,6.38890128391513,0.012,"WFDP","meta"
"MEM131",131,0.00680387312336056,0.353367397207531,0.324839488260804,6.4394686155858,0.01,"WFDP","meta"
"MEM70",70,0.00662732653224551,0.359994723739776,0.330665513043727,6.32697363819167,0.012,"WFDP","meta"
