"variables","order","R2","R2Cum","AdjR2Cum","F","pvalue","site","trait"
"MEM28",28,0.0142749717142446,0.480326656776407,0.466595450553019,13.5148092065721,0.002,"TRCP","BarkThickness"
"MEM32",32,0.0140410791121819,0.494367735888589,0.479950522655269,13.6347506546027,0.001,"TRCP","BarkThickness"
"MEM41",41,0.0135113489837018,0.507879084872291,0.492814158898993,13.4531185294082,0.001,"TRCP","BarkThickness"
"MEM22",22,0.0107884770405954,0.518667561912886,0.502918443284269,10.960336049274,0.001,"TRCP","BarkThickness"
"MEM34",34,0.0100412777564667,0.528708839669353,0.512290909903736,10.3972744613286,0.001,"TRCP","BarkThickness"
"MEM49",49,0.00993775831672783,0.53864659798608,0.521594521525607,10.4901974909474,0.002,"TRCP","BarkThickness"
"MEM172",172,0.00944708387490478,0.548093681860985,0.530426562427567,10.1598109584105,0.002,"TRCP","BarkThickness"
"MEM12",12,0.00920369908518448,0.55729738094617,0.539041602840857,10.0830531923546,0.002,"TRCP","BarkThickness"
"MEM65",65,0.0080198803536401,0.56531726129981,0.546457059827281,8.92978198943171,0.004,"TRCP","BarkThickness"
"MEM43",43,0.0079212514726047,0.573238512772415,0.553800101345899,8.96511183828483,0.004,"TRCP","BarkThickness"
"MEM72",72,0.0079046050573115,0.581143117829726,0.561156171170149,9.09623262696037,0.003,"TRCP","BarkThickness"
"MEM50",50,0.00708781486317001,0.588230932692896,0.567685282764891,8.27949260851619,0.004,"TRCP","BarkThickness"
"MEM4",4,0.00695090314238156,0.595181835835278,0.574097556451698,8.2418078132125,0.007,"TRCP","BarkThickness"
"MEM44",44,0.00693168803311717,0.602113523868395,0.580516345623255,8.34478869486608,0.006,"TRCP","BarkThickness"
"MEM5",5,0.00686671102337366,0.608980234891768,0.586893344394023,8.3941738041403,0.005,"TRCP","BarkThickness"
"MEM23",23,0.00676530951120446,0.615745544402973,0.593189727302938,8.39821787318137,0.006,"TRCP","BarkThickness"
"MEM121",121,0.00653634716048357,0.622281891563456,0.599269653864591,8.23709845754688,0.004,"TRCP","BarkThickness"
"MEM170",170,0.00628396477821525,0.628565856341672,0.60510685779483,8.03610362863666,0.006,"TRCP","BarkThickness"
"MEM74",74,0.0062662208434493,0.634832077185121,0.610949786874443,8.13376119375277,0.01,"TRCP","BarkThickness"
"MEM9",9,0.00587435075086062,0.640706427935982,0.616399040396767,7.73341946863996,0.009,"TRCP","BarkThickness"
"MEM64",64,0.00556942194327303,0.646275849879255,0.621545135993694,7.43168696942951,0.011,"TRCP","BarkThickness"
"MEM18",18,0.00545538740674434,0.651731237285999,0.626590817047621,7.37788668886923,0.014,"TRCP","BarkThickness"
"MEM187",187,0.00543723823407638,0.657168475520075,0.631638468377953,7.45410438521544,0.005,"TRCP","BarkThickness"
"MEM103",103,0.00513141972773168,0.662299895247807,0.63637835202589,7.1265475445208,0.011,"TRCP","BarkThickness"
"MEM92",92,0.0050537363585782,0.667353631606385,0.641054666583813,7.11009901366474,0.007,"TRCP","BarkThickness"
"MEM122",122,0.00494458498045303,0.672298216586838,0.645632975109964,7.04641018984098,0.01,"TRCP","BarkThickness"
"MEM24",24,0.0047962499242834,0.677094466511122,0.650070183665486,6.9216914326835,0.009,"TRCP","BarkThickness"
"MEM143",143,0.00467964810645749,0.681774114617579,0.654399844907263,6.83802440171619,0.01,"TRCP","BarkThickness"
"MEM71",71,0.00464885973694762,0.686422974354527,0.65871465958844,6.87891886691488,0.011,"TRCP","BarkThickness"
"MEM98",98,0.00455006931561031,0.690973043670137,0.662940360806521,6.81714669214438,0.012,"TRCP","BarkThickness"
"MEM145",145,0.0045179813917271,0.695491025061864,0.667149280641215,6.85466628168177,0.005,"TRCP","BarkThickness"
"MEM158",158,0.00450386920408197,0.699994894265946,0.671361001310852,6.92082789058382,0.009,"TRCP","BarkThickness"
"MEM66",66,0.0044954420446649,0.704490336310611,0.67558178225404,6.99775200150284,0.009,"TRCP","BarkThickness"
"MEM138",138,0.00445976481685351,0.708950101127465,0.679781701676186,7.03326838066435,0.009,"TRCP","BarkThickness"
"MEM89",89,0.00427234101931717,0.713222442146782,0.68379330411381,6.82317054896179,0.013,"TRCP","BarkThickness"
"MEM124",124,0.00399764813750259,0.717220090284284,0.687518918147842,6.46059050190421,0.013,"TRCP","BarkThickness"
"MEM29",29,0.00399368239484843,0.721213772679133,0.69125648070825,6.53231398678414,0.012,"TRCP","BarkThickness"
"MEM52",52,0.00387424734261221,0.725088020021745,0.694877912331827,6.41217069197199,0.012,"TRCP","BarkThickness"
"MEM37",37,0.00381812759870648,0.728906147620451,0.698452873454467,6.3942059718338,0.011,"TRCP","BarkThickness"
