"sp","site","Alcohols and polyols","Benzenoids","Carbonyl compounds","Glycosides","Organic acids and derivatives","Organoheterocyclic compounds","Phenylpropanoids and polyketides","Prenol lipids, terpenoids","Steroids and steroid derivatives","LeafSize","SLA","LWC","ChlorophyllContent","BarkThickness","WoodDensity","SeedMassKEW","abu"
"Nyssa_sylvatica","SERC",0.567684144313394,-0.555340937478239,-0.392091591506052,-0.465325964784493,-0.729393011739972,0.312316387535676,-0.214923021825187,-0.547457714055078,-0.591850306975229,0.264958888336845,-0.435127089782375,-0.881021993540261,NA,0.122752077318555,-0.445598223492312,0.949931821083636,217
"Paulownia_tomentosa","SERC",-0.787899191261238,-0.468017812833974,-0.482028750669901,-0.0367681657224922,-0.0255248684792118,-0.383638268415354,0.871626368236012,0.0497564713836439,-0.476443198605325,1.72281249289709,0.000929521905968384,1.30016152844798,0.803213410963672,0.986045289480549,-1.40785005604708,-1.29153694509834,9
"Pinus_echinata","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391409218079048,NA
"Pinus_taeda","SERC",NA,-0.405021737138355,0.0295488251413567,-0.0833804508833436,-0.285459182480674,-0.576628810164021,-0.750858502588736,0.160128188091513,-0.522867506720397,-1.41229187205362,-2.51548954010603,-0.348595526030152,NA,3.30492349690604,-1.40489362738051,0.367244455509313,4
"Pinus_virginiana","SERC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0440951800692509,NA
"Platanus_occidentalis","SERC",1.44716053983389,-0.296878465494287,-0.378144293700903,-0.374261745764739,-0.738149616986145,0.107761777431065,0.103416765870636,-0.69340205722884,-0.524635628994155,1.15488188420998,-0.727394997141542,-1.00721683627223,NA,-0.149646266324792,-0.611650966931479,-0.395502057373547,44
"Populus_grandidentata","SERC",-0.683641696328736,0.315068821316078,0.172493645208354,-0.417449406777591,0.500018053361372,-0.69730302848689,-0.557557456868533,0.900275675909787,-0.419429082341593,-0.339134528249188,-0.260150856599244,-0.542491410162739,-0.336045046154794,0.147896539808711,-0.958637144764896,-1.43721169752091,2
"Prunus_avium","SERC",-0.726838598585765,-0.678749333937705,NA,0.787316526362194,-0.703310448831983,-0.56447424783292,-0.437198404735906,-0.648386038865494,-0.477397882215472,0.272295510235948,0.50562154529801,0.358931839248242,0.176740097357046,0.7241238052081,-0.965042740209137,0.930633219966931,4
"Prunus_serotina","SERC",0.487144322418714,0.461026442671622,NA,5.69410827131564,1.99537336879509,5.44639807793642,1.63428371321971,-0.231588887469949,-0.217381626170897,-0.407097643933034,0.393246475136268,0.0623096588864702,-0.492316764281672,0.311335545994719,-0.713450660683799,0.750649620656506,10
"Quercus_alba","SERC",-0.087098385240585,-0.111020138320552,0.355520874261471,-0.539348773308876,-0.0587005103637491,-0.23025740553178,-0.427739046322463,-0.0199974175778722,1.08553566214915,0.691728386689029,-0.26999539018696,-1.01943286724809,NA,0.944137851996958,-0.776028400792922,1.95983232395567,141
